epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,709.515,1.72499,3.28811,1.61893,0.46395,0.43583,0.49402,0.22407,1.7282,3.49708,1.67991,0.00030027,0.00030027,0.00030027
2,1473.82,1.61646,2.31925,1.492,0.53667,0.55313,0.56153,0.23995,1.93799,2.95257,1.86049,0.000591326,0.000591326,0.000591326
3,2250.01,1.62341,2.12229,1.51791,0.5707,0.60841,0.66806,0.29815,1.84463,2.42594,1.82861,0.000870382,0.000870382,0.000870382
4,3000.29,1.62286,1.84265,1.51064,0.74738,0.72964,0.78624,0.42273,1.80202,2.12953,1.81951,0.000855005,0.000855005,0.000855005
5,3769.41,1.59141,1.66313,1.48594,0.62283,0.58219,0.66174,0.29418,1.8962,1.82915,1.89815,0.000837007,0.000837007,0.000837007
6,4537.25,1.55223,1.52381,1.45361,0.84355,0.74563,0.79865,0.4213,1.81243,1.6689,1.78031,0.000819009,0.000819009,0.000819009
7,5316.95,1.56307,1.48438,1.4621,0.66517,0.78379,0.77154,0.37315,1.95802,1.5272,1.90982,0.000801011,0.000801011,0.000801011
8,6093.48,1.53679,1.3687,1.45494,0.63189,0.83539,0.81539,0.43228,1.70231,1.56719,1.7098,0.000783013,0.000783013,0.000783013
9,6861.01,1.4953,1.30925,1.43867,0.72832,0.68086,0.76963,0.41022,1.80796,1.38706,1.84249,0.000765014,0.000765014,0.000765014
10,7640.3,1.47846,1.25305,1.41943,0.72564,0.81043,0.80131,0.45094,1.76856,1.33498,1.77538,0.000747016,0.000747016,0.000747016
11,8416.73,1.47507,1.21538,1.42138,0.73689,0.77355,0.8712,0.46409,1.74364,1.26562,1.81831,0.000729018,0.000729018,0.000729018
12,9220.76,1.45798,1.18937,1.41609,0.67215,0.83337,0.82362,0.42637,1.81917,1.25086,1.82415,0.00071102,0.00071102,0.00071102
13,10171,1.42537,1.15024,1.39492,0.80123,0.7755,0.82939,0.42663,1.76131,1.18186,1.83034,0.000693022,0.000693022,0.000693022
14,11097,1.43183,1.11824,1.40208,0.68573,0.74814,0.77388,0.38261,1.93387,1.22321,1.91612,0.000675023,0.000675023,0.000675023
15,11836.7,1.42549,1.09789,1.39534,0.8337,0.76047,0.85182,0.4661,1.839,1.27045,1.89263,0.000657025,0.000657025,0.000657025
16,12562.5,1.3986,1.05135,1.38742,0.79989,0.63613,0.72925,0.3575,1.8003,1.22298,1.85179,0.000639027,0.000639027,0.000639027
17,13296.7,1.37814,1.02625,1.36886,0.84338,0.79985,0.88621,0.48585,1.7694,1.05212,1.8372,0.000621029,0.000621029,0.000621029
18,14033.4,1.36709,0.98676,1.34697,0.75369,0.792,0.81919,0.43045,1.81563,1.13311,1.87325,0.000603031,0.000603031,0.000603031
19,14795.5,1.341,0.97298,1.34382,0.78451,0.83705,0.83885,0.44196,1.80165,1.0624,1.83069,0.000585032,0.000585032,0.000585032
20,15545.3,1.32406,0.94574,1.33021,0.80705,0.75902,0.85376,0.42699,1.85292,1.21845,1.88313,0.000567034,0.000567034,0.000567034
21,16324.7,1.30116,0.92501,1.32077,0.76327,0.68964,0.79429,0.39234,1.87167,1.20604,1.90022,0.000549036,0.000549036,0.000549036
22,17114.9,1.30739,0.89787,1.32354,0.69015,0.7837,0.76646,0.41371,1.81318,1.06302,1.87597,0.000531038,0.000531038,0.000531038
23,17886.4,1.29873,0.89281,1.31841,0.7607,0.75801,0.81319,0.43933,1.80201,1.01831,1.86853,0.00051304,0.00051304,0.00051304
24,18656.8,1.26488,0.86433,1.29929,0.75243,0.82757,0.86607,0.45966,1.84261,0.988,1.85311,0.000495041,0.000495041,0.000495041
25,19651.9,1.23791,0.8373,1.27899,0.8282,0.80783,0.84438,0.45534,1.86666,0.96097,1.90935,0.000477043,0.000477043,0.000477043
26,20559,1.23255,0.85761,1.28124,0.79742,0.81065,0.84934,0.4754,1.71924,1.03112,1.82495,0.000459045,0.000459045,0.000459045
27,21324.8,1.19968,0.81187,1.26527,0.75186,0.83367,0.84397,0.4685,1.85882,1.03951,1.94978,0.000441047,0.000441047,0.000441047
28,22122.9,1.22327,0.81099,1.27339,0.81783,0.79532,0.85109,0.46341,1.80491,0.9311,1.89638,0.000423049,0.000423049,0.000423049
29,22970.9,1.17805,0.78529,1.25822,0.75744,0.82276,0.82103,0.4412,1.73851,1.01241,1.83191,0.00040505,0.00040505,0.00040505
30,23767.7,1.17862,0.78653,1.26514,0.69934,0.84224,0.8265,0.44729,1.81795,0.98673,1.9389,0.000387052,0.000387052,0.000387052
31,24543.6,1.15472,0.74818,1.24088,0.81185,0.81434,0.82273,0.45443,1.79296,1.0138,1.86957,0.000369054,0.000369054,0.000369054
32,25307.6,1.13592,0.75629,1.23376,0.71798,0.78183,0.79308,0.44949,1.82488,1.05623,1.95146,0.000351056,0.000351056,0.000351056
33,26103.2,1.13884,0.72876,1.23911,0.76054,0.84423,0.84325,0.45949,1.85235,0.92826,1.96936,0.000333058,0.000333058,0.000333058
34,26859.4,1.13876,0.7497,1.23655,0.78168,0.77315,0.82335,0.46779,1.80542,0.93393,1.92169,0.000315059,0.000315059,0.000315059
35,27679.6,1.10578,0.71405,1.21195,0.83059,0.76647,0.8158,0.48338,1.82654,0.95428,1.97442,0.000297061,0.000297061,0.000297061
36,28463.4,1.08467,0.68755,1.19895,0.85686,0.79175,0.8697,0.48658,1.77979,0.91217,1.93038,0.000279063,0.000279063,0.000279063
37,29263.8,1.06091,0.69052,1.19677,0.72472,0.85581,0.84603,0.49644,1.79598,0.92596,1.94211,0.000261065,0.000261065,0.000261065
38,30112.6,1.06594,0.67923,1.19327,0.83426,0.78239,0.86274,0.4858,1.83428,0.94334,1.94887,0.000243067,0.000243067,0.000243067
39,30901.7,1.03269,0.67041,1.18478,0.80907,0.75922,0.86753,0.50434,1.74739,0.9234,1.88856,0.000225068,0.000225068,0.000225068
40,31654.7,1.04273,0.66805,1.19247,0.78152,0.82461,0.86139,0.48732,1.78496,0.93613,1.96892,0.00020707,0.00020707,0.00020707
41,32383.7,0.94219,0.50406,1.15525,0.74685,0.8262,0.84986,0.48655,1.76831,0.90926,1.9288,0.000189072,0.000189072,0.000189072
42,33158.1,0.9032,0.4762,1.12996,0.8046,0.82219,0.8538,0.46355,1.79791,0.89967,1.94154,0.000171074,0.000171074,0.000171074
43,33946.5,0.88824,0.4665,1.12465,0.78218,0.83863,0.85664,0.51147,1.7824,0.93369,1.99064,0.000153076,0.000153076,0.000153076
44,34800.5,0.86662,0.45473,1.11547,0.76025,0.83645,0.86343,0.49549,1.75842,0.91821,1.96946,0.000135077,0.000135077,0.000135077
45,35618.3,0.85552,0.45348,1.11218,0.81452,0.80165,0.85766,0.49184,1.77396,0.91816,1.97975,0.000117079,0.000117079,0.000117079
46,36397.7,0.84375,0.4454,1.11281,0.84345,0.78536,0.8405,0.49643,1.72305,0.87981,1.91617,9.9081e-05,9.9081e-05,9.9081e-05
47,37207.2,0.82794,0.43849,1.09296,0.83082,0.79762,0.87069,0.51135,1.75735,0.87003,1.9731,8.10828e-05,8.10828e-05,8.10828e-05
48,38063.9,0.79867,0.42202,1.07781,0.8371,0.80021,0.84475,0.48428,1.79714,0.91164,2.01871,6.30846e-05,6.30846e-05,6.30846e-05
49,38905.8,0.79855,0.42508,1.07583,0.81174,0.82301,0.85542,0.50114,1.76716,0.92716,2.01168,4.50864e-05,4.50864e-05,4.50864e-05
50,39687.2,0.78378,0.42402,1.06853,0.80771,0.83275,0.85386,0.51099,1.76564,0.90056,2.01796,2.70882e-05,2.70882e-05,2.70882e-05
